opt,size,optin,perf
aopt1,400,0.13,2.13
aopt2,400,0.12,2.18
bs1,400,0.084,0.62
bs2,400,0.32,3.94
opt0,400,0.12,1.93
opt1,400,0.12,2.06
opt2,400,0.12,2.04
opt3,400,0.12,2.1
opt21,400,0.12,2.16
opt22,400,0.16,2.48
opt23,400,0.4,16.17
opt24,400,0.52,22.09
opt31,400,0.093,2.15
opt32,400,0.12,2.41
opt33,400,0.14,2.97
opt34,400,0.14,3.07
opt35,400,0.13,3.11
opt36,400,0.13,3.2
opt41,400,0.42,6.67
opt42,400,0.31,8.1
opt43,400,0.17,2.99
opt44,400,0.34,22.82
opt45,400,0.42,22.81
opt46,400,0.43,25.28
opt47,400,0.42,27.2
aopt1,800,0.13,2.08
aopt2,800,0.12,2.14
bs1,800,0.082,1.91
bs2,800,0.44,15.46
opt0,800,0.12,1.75
opt1,800,0.12,1.89
opt2,800,0.12,2.07
opt3,800,0.12,2.13
opt21,800,0.12,2.09
opt22,800,0.15,2.5
opt23,800,0.35,15.66
opt24,800,0.48,19.54
opt31,800,0.093,2.15
opt32,800,0.12,2.31
opt33,800,0.13,3.01
opt34,800,0.14,3.05
opt35,800,0.13,3.11
opt36,800,0.13,3.11
opt41,800,0.5,17.63
opt42,800,0.29,9.6
opt43,800,0.2,3.86
opt44,800,0.39,19.87
opt45,800,0.41,19.84
opt46,800,0.42,19.77
opt47,800,0.41,21.51
aopt1,1600,0.13,2.09
aopt2,1600,0.12,2.13
bs1,1600,0.082,1.58
bs2,1600,0.44,14.53
opt0,1600,0.12,1.46
opt1,1600,0.12,1.46
opt2,1600,0.12,2.1
opt3,1600,0.12,2.1
opt21,1600,0.12,2.11
opt22,1600,0.15,2.49
opt23,1600,0.34,15.37
opt24,1600,0.46,18.45
opt31,1600,0.093,2.1
opt32,1600,0.12,2.31
opt33,1600,0.14,2.77
opt34,1600,0.14,2.72
opt35,1600,0.13,3.14
opt36,1600,0.13,3.14
opt41,1600,0.46,17.34
opt42,1600,0.29,9.66
opt43,1600,0.2,3.24
opt44,1600,0.33,18.46
opt45,1600,0.35,18.28
opt46,1600,0.35,19.91
opt47,1600,0.35,20.92
aopt1,2400,0.13,2.09
aopt2,2400,0.12,2.13
bs1,2400,0.083,1.49
bs2,2400,0.44,15.56
opt0,2400,0.12,1.32
opt1,2400,0.12,1.38
opt2,2400,0.12,2.1
opt3,2400,0.12,2.11
opt21,2400,0.12,2.1
opt22,2400,0.15,2.49
opt23,2400,0.34,16.55
opt24,2400,0.46,20.19
opt31,2400,0.093,2.11
opt32,2400,0.12,2.31
opt33,2400,0.14,2.74
opt34,2400,0.14,2.75
opt35,2400,0.13,3.13
opt36,2400,0.13,3.14
opt41,2400,0.46,18.71
opt42,2400,0.29,9.37
opt43,2400,0.2,3.24
opt44,2400,0.33,18.88
opt45,2400,0.35,18.65
opt46,2400,0.35,20.28
opt47,2400,0.36,20.89
aopt1,2960,0.13,2.08
aopt2,2960,0.12,2.12
bs1,2960,0.083,1.52
bs2,2960,0.44,15.65
opt0,2960,0.12,1.29
opt1,2960,0.12,1.32
opt2,2969,0.12,2.1
opt3,2960,0.12,2.1
opt21,2960,0.12,2.1
opt22,2960,0.15,2.49
opt23,2960,0.33,16.39
opt24,2960,0.46,19.83
opt31,2960,0.094,2.11
opt32,2960,0.12,2.3
opt33,2960,0.13,2.89
opt34,2960,0.14,2.87
opt35,2960,0.13,3.14
opt36,2960,0.13,3.13
opt41,2960,0.46,18.71
opt42,2960,0.28,9.74
opt43,2960,0.2,3.31
opt44,2960,0.33,19.51
opt45,2960,0.35,19.51
opt46,2960,0.35,20.92
opt47,2960,0.35,21.72
aopt1,3200,0.13,2.08
aopt2,3200,0.12,2.12
bs1,3200,0.083,1.33
bs2,3200,0.44,15.45
opt0,3200,0.12,1.16
opt1,3200,0.12,1.22
opt2,3200,0.12,2.1
opt3,3200,0.12,2.1
opt21,3200,0.12,2.09
opt22,3200,0.15,2.49
opt23,3200,0.33,16.16
opt24,3200,0.46,19.7
opt31,3200,0.094,2.07
opt32,3200,0.12,2.3
opt33,3200,0.13,2.26
opt34,3200,0.14,2.37
opt35,3200,0.13,3.13
opt36,3200,0.13,3.13
opt41,3200,0.46,18.43
opt42,3200,0.29,9.66
opt43,3200,0.2,2.61
opt44,3200,0.33,18.71
opt45,3200,0.35,18.69
opt46,3200,0.35,20.07
opt47,3200,0.35,20.85
opt37,800,0.35,23.98
opt37,1600,0.35,22.07
opt37,2400,0.35,21.16
opt37,2960,0.35,22.16
opt37,3200,0.35,21.38
opt51,800,0.37,22.6
opt51,1600,0.35,21.38
opt51,2400,0.35,21.39
opt51,2960,0.38,21.74
opt51,3200,0.35,19.94
opt53,400,0.45,10.19
opt53,800,0.42,15.4
opt53,1600,0.39,23.46
opt53,2400,0.37,21.93
opt53,2960,0.37,21.13
opt53,3200,0.39,21.16
opt54,400,0.49,10.64
opt54,800,0.41,19.14
opt54,1600,0.39,22.36
opt54,2400,0.35,22.19
opt54,2960,0.35,22
opt54,3200,0.34,21.15
opt48,800,0.47,13.16
opt48,1600,0.41,23.2
opt48,2400,0.33,23.32
opt48,2960,0.35,23.21
opt48,3200,0.35,22.35
opt61,800,0.46,22.9
opt61,1600,0.38,26.15
opt61,2400,0.39,24.46
opt61,2960,0.37,23.67
opt61,3200,0.35,23.23
opt60,800,0.47,20.66
opt60,1600,0.38,25.1
opt60,2400,0.33,24.95
opt60,2960,0.34,24.49
opt60,3200,0.33,23.61
